Дата потребности;Порядковый номер;Заказ-Партия;Номенклатура потребности;Потребность из файла;Потребность нач;Потребность кон;Списание потребности;Склад;Дата списания остат;Номенклатура Списания;Остатки нач;Остатки кон;Списание остатков;Дата учета
2020-01-23;4126;0009-1;Гайка М24-6h.5.Гл ГОСТ 5915-70;0.0;0.246;0.0;0.246;Центральный склад;2020-05-20;Гайка М24-6h.5.Гл ГОСТ 5915-70;2.621;2.375;0.246;2020-01-23
2020-01-23;4129;0009-1;Круг 50 ГОСТ 2590-2006 45 ГОСТ 1050-88;1.5390000000000001;2.539;1.5390000000000001;1.0;Центральный склад;2020-05-20;Круг 50 ГОСТ 2590-2006 45 ГОСТ 1050-88;1.0;0.0;1.0;2020-01-23
2020-02-07;4866;0023-1;Шайба 27 Гл ГОСТ 11371-78;0.0;4.357;0.0;4.357;Центральный склад;2020-05-20;Шайба 27 Гл ГОСТ 11371-78;324.701;320.344;4.357;2020-02-07
2020-02-07;4867;0023-1;Шайба 27 Гл ГОСТ 6402-70;0.0;3.1;0.0;3.1;Центральный склад;2020-05-20;Шайба 27 Гл ГОСТ 6402-70;55.533;52.433;3.1;2020-02-07
2020-02-17;5477;0016-1;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.0;28.189;0.0;28.189;Центральный склад;2020-05-20;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;61.33;33.141;28.189;2020-02-17
2020-02-28;5942;0030-1;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;51.308;0.0;51.308;Центральный склад;2020-05-20;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;7099.56;7048.252;51.308;2020-02-28
2020-02-28;5943;0030-1;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;77.227;0.0;77.227;Центральный склад;2020-05-20;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;1272.48;1195.253;77.227;2020-02-28
2020-03-06;6352;0040-1;Лист 12 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;0.0;28.765;0.0;28.765;Центральный склад;2020-05-20;Лист 12 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;6782.4;6753.634999999999;28.765;2020-03-06
2020-03-06;6354;0040-1;Шайба 20 Гл ГОСТ 11371-78;0.0;0.12;0.0;0.12;Центральный склад;2020-05-20;Шайба 20 Гл ГОСТ 11371-78;826.117;825.997;0.12;2020-03-06
2020-03-06;6353;0040-1;Лист 4 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;0.0;22.596;0.0;22.596;Центральный склад;2020-05-20;Лист 4 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;181.963;159.367;22.596;2020-03-06
