Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Изделие;Заказ-Партия;Закуп подтвержден;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
2810;02133;1;2020-02-04;00000011268;Уголок 32х32х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;60.57;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02133-1;1;0.0;0.0;0.0;0.0;0.0
2811;02133;1;2020-02-04;00000011284;Уголок 90х90х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;5.292;5.292;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02133-1;1;0.0;0.0;0.0;0.0;0.0
2812;02133;1;2020-02-04;00000014587;Уголок 100х100х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;134.06;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02133-1;1;0.0;0.0;0.0;0.0;0.0
2813;02133;1;2020-02-04;00000011285;Швеллер 18 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;35.602;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02133-1;1;0.0;0.0;0.0;0.0;0.0
2814;02133;1;2020-02-04;00000013009;Швеллер 10 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;19.952;19.952;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02133-1;1;0.0;0.0;0.0;0.0;0.0
2815;02133;1;2020-02-04;00000000659;Шайба 20 Гл ГОСТ 11371-78;0.034;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02133-1;1;0.0;0.0;0.0;0.0;0.0
2882;02138;1;2020-02-04;00000004440;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.132;0.132;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02138-1;1;0.0;0.0;0.0;0.0;0.0
2883;02138;1;2020-02-04;00000011269;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;101.052;101.052;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02138-1;1;0.0;0.0;0.0;0.0;0.0
2884;02138;1;2020-02-04;00000011289;Лист 5 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;455.61;426.087;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02138-1;1;0.0;0.0;0.0;0.0;0.0
2885;02138;1;2020-02-04;00000011726;Лист 12 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;47.778;63.636;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02138-1;1;0.0;0.0;0.0;0.0;0.0
2886;02138;1;2020-02-04;00000014979;Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;59.13;59.13;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02138-1;1;0.0;0.0;0.0;0.0;0.0
2887;02138;1;2020-02-04;00000015205;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;180.366;191.25;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02138-1;1;0.0;0.0;0.0;0.0;0.0
2888;02138;1;2020-02-04;00000011270;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;1924.452;1987.921;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02138-1;1;0.0;0.0;0.0;0.0;0.0
2889;02138;1;2020-02-04;00000014228;Круг 16 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;51.654;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02138-1;1;0.0;0.0;0.0;0.0;0.0
2890;02138;1;2020-02-04;00000015520;Труба 219х8 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;349.68;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02138-1;1;0.0;0.0;0.0;0.0;0.0
2891;02138;1;2020-02-04;00000011268;Уголок 32х32х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;181.71;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02138-1;1;0.0;0.0;0.0;0.0;0.0
2892;02138;1;2020-02-04;00000011284;Уголок 90х90х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;15.876;15.876;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02138-1;1;0.0;0.0;0.0;0.0;0.0
2893;02138;1;2020-02-04;00000014587;Уголок 100х100х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;402.18;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02138-1;1;0.0;0.0;0.0;0.0;0.0
2894;02138;1;2020-02-04;00000011285;Швеллер 18 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;106.806;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02138-1;1;0.0;0.0;0.0;0.0;0.0
2895;02138;1;2020-02-04;00000013009;Швеллер 10 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;59.856;59.856;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02138-1;1;0.0;0.0;0.0;0.0;0.0
2896;02138;1;2020-02-04;00000000659;Шайба 20 Гл ГОСТ 11371-78;0.102;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-01-31 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02138-1;1;0.0;0.0;0.0;0.0;0.0
3949;02140;1;2020-02-04;00000004440;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.022;0.022;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-02-03 00:00:00;Комплектная поставка: Опора анкерная угловая одностоечная повышенная АУОП10ГИ-1 для изолирова;02140-1;1;0.0;0.0;0.0;0.0;0.0
3950;02140;1;2020-02-04;00000011269;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;7.258;7.258;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-02-03 00:00:00;Комплектная поставка: Опора анкерная угловая одностоечная повышенная АУОП10ГИ-1 для изолирова;02140-1;1;0.0;0.0;0.0;0.0;0.0
3951;02140;1;2020-02-04;00000011280;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;194.644;100.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-02-03 00:00:00;Комплектная поставка: Опора анкерная угловая одностоечная повышенная АУОП10ГИ-1 для изолирова;02140-1;1;0.0;0.0;0.0;0.0;0.0
3952;02140;1;2020-02-04;00000011726;Лист 12 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;89.379;105.405;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-02-03 00:00:00;Комплектная поставка: Опора анкерная угловая одностоечная повышенная АУОП10ГИ-1 для изолирова;02140-1;1;0.0;0.0;0.0;0.0;0.0
3953;02140;1;2020-02-04;00000012986;Лист 25 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;63.605;63.605;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-02-03 00:00:00;Комплектная поставка: Опора анкерная угловая одностоечная повышенная АУОП10ГИ-1 для изолирова;02140-1;1;0.0;0.0;0.0;0.0;0.0
3954;02140;1;2020-02-04;00000011270;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;7.781;2.198;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-02-03 00:00:00;Комплектная поставка: Опора анкерная угловая одностоечная повышенная АУОП10ГИ-1 для изолирова;02140-1;1;0.0;0.0;0.0;0.0;0.0
3955;02140;1;2020-02-04;00000014228;Круг 16 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;7.669;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-02-03 00:00:00;Комплектная поставка: Опора анкерная угловая одностоечная повышенная АУОП10ГИ-1 для изолирова;02140-1;1;0.0;0.0;0.0;0.0;0.0
3956;02140;1;2020-02-04;00000011278;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;318.783;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-02-03 00:00:00;Комплектная поставка: Опора анкерная угловая одностоечная повышенная АУОП10ГИ-1 для изолирова;02140-1;1;0.0;0.0;0.0;0.0;0.0
3957;02140;1;2020-02-04;00000011283;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;50.533;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-02-03 00:00:00;Комплектная поставка: Опора анкерная угловая одностоечная повышенная АУОП10ГИ-1 для изолирова;02140-1;1;0.0;0.0;0.0;0.0;0.0
3958;02140;1;2020-02-04;00000012146;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;2.56;2.56;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-02-03 00:00:00;Комплектная поставка: Опора анкерная угловая одностоечная повышенная АУОП10ГИ-1 для изолирова;02140-1;1;0.0;0.0;0.0;0.0;0.0
3959;02140;1;2020-02-04;00000014587;Уголок 100х100х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;754.762;754.762;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-02-03 00:00:00;Комплектная поставка: Опора анкерная угловая одностоечная повышенная АУОП10ГИ-1 для изолирова;02140-1;1;0.0;0.0;0.0;0.0;0.0
3960;02140;1;2020-02-04;00000015195;Швеллер 16 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;74.624;74.624;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-02-03 00:00:00;Комплектная поставка: Опора анкерная угловая одностоечная повышенная АУОП10ГИ-1 для изолирова;02140-1;1;0.0;0.0;0.0;0.0;0.0
3961;02140;1;2020-02-04;00-00000512;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;69.089;69.089;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-04 00:00:00;0.0;2020-02-03 00:00:00;Комплектная поставка: Опора анкерная угловая одностоечная повышенная АУОП10ГИ-1 для изолирова;02140-1;1;0.0;0.0;0.0;0.0;0.0
2848;02136;1;2020-02-05;00000004440;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.044;0.044;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2849;02136;1;2020-02-05;00000011269;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;33.684;33.684;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2850;02136;1;2020-02-05;00000011289;Лист 5 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;151.87;142.391;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2851;02136;1;2020-02-05;00000011726;Лист 12 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;15.926;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2852;02136;1;2020-02-05;00000014979;Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;31.104;34.615;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2853;02136;1;2020-02-05;00000015205;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;60.122;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2854;02136;1;2020-02-05;00000011270;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;654.636;667.746;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2855;02136;1;2020-02-05;00000014228;Круг 16 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;17.218;17.218;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2856;02136;1;2020-02-05;00000015520;Труба 219х8 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;116.56;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2857;02136;1;2020-02-05;00000011268;Уголок 32х32х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;60.57;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2858;02136;1;2020-02-05;00000011275;Уголок 70х70х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;13.764;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2859;02136;1;2020-02-05;00000011278;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;8.176;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2860;02136;1;2020-02-05;00000011284;Уголок 90х90х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;5.292;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2861;02136;1;2020-02-05;00000011286;Уголок 75х75х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;4.944;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2862;02136;1;2020-02-05;00000012146;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;47.256;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2863;02136;1;2020-02-05;00000014587;Уголок 100х100х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;134.06;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2864;02136;1;2020-02-05;00000011285;Швеллер 18 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;35.602;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2865;02136;1;2020-02-05;00000013009;Швеллер 10 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;19.952;19.952;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2866;02136;1;2020-02-05;00000000659;Шайба 20 Гл ГОСТ 11371-78;0.034;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
2867;02136;1;2020-02-05;00000012215;Шпилька по чертежу ШКМ-1 М12х100.40Х.бп ШКМ-01-КМД;3.56;0.0;0.0;1.0;0.0;ЯМАЛ СПГ ОАО;1736/19-ЯСПГ от 26.12.2019, Спецификация №1 (Дополнительное соглашение №1) от 29.01.2020;2020-02-05 00:00:00;0.0;2020-01-04 00:00:00;"Комплектная поставка: Опора анкерная (концевая) А10ГИУ-1 для изолированного провода; Фундамен";02136-1;1;0.0;0.0;0.0;0.0;0.0
