Дата потребности;Порядковый номер;Заказ-Партия;Номенклатура потребности;Потребность из файла;Потребность нач;Потребность кон;Списание потребности;Склад;Дата списания остат;Номенклатура Списания;Остатки нач;Остатки кон;Списание остатков;Дата учета
2020-02-17;4031;02177-2;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.0;0.792;0.0;0.792;Центральный склад;2020-02-27;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;98.128;97.336;0.792;2020-02-17
2020-02-17;4040;02177-2;Уголок 90х90х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;649.72;0.0;649.72;Центральный склад;2020-02-27;Уголок 90х90х6 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;8696.52;8046.8;649.72;2020-02-17
2020-02-17;4041;02177-2;Уголок 100х100х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;222.536;0.0;222.536;Центральный склад;2020-02-27;Уголок 100х100х8 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;7791.0;7568.464;222.536;2020-02-17
2020-02-17;4043;02177-2;Уголок 100х100х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;79.74;0.0;79.74;Центральный склад;2020-02-27;Уголок 100х100х10 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;5040.0;4960.26;79.74;2020-02-17
2020-02-17;4044;02177-2;Уголок 125х125х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;728.846;0.0;728.846;Центральный склад;2020-02-27;Уголок 125х125х10 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;13752.0;13023.154;728.846;2020-02-17
2020-02-17;4045;02177-2;Уголок 140х140х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;1182.362;0.0;1182.362;Центральный склад;2020-02-27;Уголок 140х140х10 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;2316.6;1134.2379999999998;1182.362;2020-02-17
2020-02-17;4046;02177-2;Уголок 75х75х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;107.796;0.0;107.796;Центральный склад;2020-02-27;Уголок 75х75х8 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;6169.68;6061.884;107.796;2020-02-17
2020-02-18;1140;921880-1;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;0.0;0.815;0.0;0.815;Центральный склад;2020-02-27;Лист ПВ 406 ТУ 1120-004-77148144-2006 ст3 ГОСТ 380-2005;1801.52;1800.705;0.815;2020-02-18
2020-02-18;1145;921881-1;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;0.0;124.632;0.0;124.632;Центральный склад;2020-02-27;Лист ПВ 406 ТУ 1120-004-77148144-2006 ст3 ГОСТ 380-2005;1800.705;1676.0729999999999;124.632;2020-02-18
2020-02-18;1150;921882-1;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;0.0;373.896;0.0;373.896;Центральный склад;2020-02-27;Лист ПВ 406 ТУ 1120-004-77148144-2006 ст3 ГОСТ 380-2005;1676.0729999999999;1302.177;373.896;2020-02-18
