Дата запуска;0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;14.0;15.0;16.0
Дата запуска;2020-02-28 00:00:00;2020-02-29 00:00:00;2020-03-01 00:00:00;2020-03-02 00:00:00;2020-03-03 00:00:00;2020-03-04 00:00:00;2020-03-05 00:00:00;2020-03-06 00:00:00;2020-03-07 00:00:00;2020-03-08 00:00:00;2020-03-09 00:00:00;2020-03-10 00:00:00;2020-03-11 00:00:00;2020-03-13 00:00:00;2020-03-14 00:00:00;2020-03-15 00:00:00
Номенклатура;;;;;;;;;;;;;;;;
Лист 12 ГОСТ 19903-74 С345-3 ГОСТ 27772-2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;231.012;0.0;0.0;231.012;0.0;0.0
Лист 12 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;278.303;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1883.5280000000016;6046.556;292.236;0.0
Лист 16 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.651;0.0
Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;4280.7429999999995;1038.244;7114.506;581.06;1999.04;0.0;2083.864;102.54;3786.8589999999995;0.0;3933.929;273.44;10389.438999999998;3105.611;0.0;97.52199999999999
Лист 24 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;235.007;0.0;0.0;0.0;0.0;0.0
Лист 25 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1180.0970000000013;0.0;0.0
Лист 25 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-89;0.0;0.0;1268.448;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Лист 28 ГОСТ 19903-74 С345-4 ГОСТ 27772-2015;296.133;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Лист 3 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;2628.3360000000002;0.0;3454.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Лист 3 ГОСТ 19903-74 ст3 ГОСТ 380-2005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.952;0.0
Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;7471.171;298.064;7641.728;1038.881;0.0;4552.269;196.876;1824.159;0.0;428.467;64.8;686.1569999999999;43.004000000000005
