Дата потребности;Порядковый номер;Заказ-Партия;Номенклатура потребности;Потребность из файла;Потребность нач;Потребность кон;Списание потребности;Склад;Дата списания остат;Номенклатура Списания;Остатки нач;Остатки кон;Списание остатков;Дата учета
2019-12-30;350;1-1;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;62.29882353;0.0;62.29882353;Центральный склад;2020-02-05;Лист 8 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;847.8;785.5011764699999;62.29882353;2019-12-30
2019-12-30;353;1-1;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;2.17096774;0.0;2.17096774;Центральный склад;2020-02-05;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;30717.96;30715.78903226;2.17096774;2019-12-30
2020-01-17;883;922004-1;Лист 20 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;0.0;243.07012987;0.0;243.07012987;Центральный склад;2020-02-05;Лист 20 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;2317.32;2074.24987013;243.07012987;2020-01-17
2020-01-17;884;922004-1;Лист 6 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;0.0;40.14545455;0.0;40.14545455;Центральный склад;2020-02-05;Лист 6 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;2543.4;2503.25454545;40.14545455;2020-01-17
2020-01-17;885;922004-1;Лист 8 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;0.0;458.18470588;0.0;458.18470588;Центральный склад;2020-02-05;Лист 8 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;785.5011764699999;327.3164705899999;458.18470588;2020-01-17
2020-01-17;887;922004-1;Уголок 70х70х6 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;0.0;2384.36086957;0.0;2384.36086957;Центральный склад;2020-02-05;Уголок 70х70х6 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;23694.12;21309.75913043;2384.36086957;2020-01-17
2020-01-17;888;922004-1;Уголок 100х100х7 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;0.0;2575.52608696;0.0;2575.52608696;Центральный склад;2020-02-05;Уголок 100х100х7 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;22619.077;20043.550913040002;2575.52608696;2020-01-17
2020-01-20;943;4-1;Лист 5 ГОСТ 19903-74 09Г2С-6 ГОСТ 19281-2014;0.0;473.81395349;0.0;473.81395349;Центральный склад;2020-02-05;Лист 5 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;2749.463;2275.64904651;473.81395349;2020-01-20
2020-01-20;952;4-1;Круг 10 ГОСТ 2590-2006 09Г2С-6 ГОСТ 19281-2014;0.0;10.44705882;0.0;10.44705882;Центральный склад;2020-02-05;Круг 10 ГОСТ 2590-2006 09Г2С-15 ГОСТ 19281-2014;143.0;132.55294118;10.44705882;2020-01-20
2020-01-20;953;4-1;Лист 10 ГОСТ 19903-74 09Г2С-6 ГОСТ 19281-2014;0.0;738.82352941;0.0;738.82352941;Центральный склад;2020-02-05;Лист 10 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;8478.0;7739.1764705900005;738.82352941;2020-01-20
