Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Изделие;Заказ-Партия;Закуп подтвержден;Возможный заказ;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
4340;90235;1;2019-12-04;00000009692;Уголок 63х63х5 ГОСТ 8509-86 ст3 ГОСТ 380-2005;627.935;406.0;0.0;1.0;0.0;0;0;0;0.0;0;90235 Заготовка на комплекс охлаждающей ванны;90235-1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
4339;90235;1;2019-12-04;00000018231;Уголок 63х63х4 ГОСТ 8509-86 ст3 ГОСТ 380-2005;359.783;360.0;0.0;1.0;0.0;0;0;0;0.0;0;90235 Заготовка на комплекс охлаждающей ванны;90235-1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
4336;90235;1;2019-12-04;00000015110;Лист 4 ГОСТ 19903-74 ст3 ГОСТ 380-2005;342.26;343.0;0.0;1.0;0.0;0;0;0;0.0;0;90235 Заготовка на комплекс охлаждающей ванны;90235-1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
4341;90235;1;2019-12-04;00000015090;Швеллер 10 У ГОСТ 8240-89 ст3 ГОСТ 380-2005;1019.953;1020.0;0.0;1.0;0.0;0;0;0;0.0;0;90235 Заготовка на комплекс охлаждающей ванны;90235-1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
4342;90235;1;2019-12-04;00000015114;Швеллер 16 У ГОСТ 8240-89 ст3 ГОСТ 380-2005;5960.647;4017.0;0.0;1.0;0.0;0;0;0;0.0;0;90235 Заготовка на комплекс охлаждающей ванны;90235-1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
4343;90235;1;2019-12-04;00-00001615;Лист 4 ГОСТ 19903-74 12Х18Н10Т ГОСТ 7350-77;4428.688;4183.0;0.0;1.0;0.0;0;0;0;0.0;0;90235 Заготовка на комплекс охлаждающей ванны;90235-1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
4344;90235;1;2019-12-04;00000018636;Труба 89х5 ГОСТ 9940-81 12Х18Н10Т ГОСТ 7350-77;2.572;3.0;0.0;1.0;0.0;0;0;0;0.0;0;90235 Заготовка на комплекс охлаждающей ванны;90235-1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
4345;90235;1;2019-12-04;00-00001617;Болт самоанкерующийся распорный БСР 16х150 УХЛ3 ГОСТ 28778-90;0.768;0.0;0.0;1.0;0.0;0;0;0;0.0;0;90235 Заготовка на комплекс охлаждающей ванны;90235-1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
4335;90235;1;2019-12-04;00000009689;Лист 8 ГОСТ 19903-74 ст3 ГОСТ 380-2005;21.261;22.0;0.0;1.0;0.0;0;0;0;0.0;0;90235 Заготовка на комплекс охлаждающей ванны;90235-1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
4338;90235;1;2019-12-04;00000010893;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;794.02;936.0;0.0;1.0;0.0;0;0;0;0.0;0;90235 Заготовка на комплекс охлаждающей ванны;90235-1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
