Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Заказ-Партия;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
0;90235;1;2019-12-04;9689;Лист 8 ГОСТ 19903-74 ст3 ГОСТ 380-2005;21.26117647;22.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
1;90235;1;2019-12-04;15110;Лист 4 ГОСТ 19903-74 ст3 ГОСТ 380-2005;342.26021505;343.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
2;90235;1;2019-12-04;9686;Лист 10 ГОСТ 19903-74 ст3 ГОСТ 380-2005;7.38823529;0.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
3;90235;1;2019-12-04;10893;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;794.02;936.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
4;90235;1;2019-12-04;18231;Уголок 63х63х4 ГОСТ 8509-86 ст3 ГОСТ 380-2005;359.7827957;360.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
5;90235;1;2019-12-04;9692;Уголок 63х63х5 ГОСТ 8509-86 ст3 ГОСТ 380-2005;627.93548387;406.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
6;90235;1;2019-12-04;15090;Швеллер 10 У ГОСТ 8240-89 ст3 ГОСТ 380-2005;1019.95268817;1020.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
7;90235;1;2019-12-04;15114;Швеллер 16 У ГОСТ 8240-89 ст3 ГОСТ 380-2005;5960.64666667;4017.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
8;90235;1;2019-12-04;00-00001615;Лист 4 ГОСТ 19903-74 12Х18Н10Т ГОСТ 7350-77;4428.68817204;4183.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
9;90235;1;2019-12-04;18636;Труба 89х5 ГОСТ 9940-81 12Х18Н10Т ГОСТ 7350-77;2.57176471;3.0;0.0;1.0;0.0;0;0;90235-1;0.0;0.0;0.0;0.0;0.0
10;921180;1;2019-12-08;4440;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.17777778;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
11;921180;1;2019-12-08;13978;Лист 10 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;1075.69411765;1076.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
12;921180;1;2019-12-08;14026;Лист 12 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;103.24137931;104.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
13;921180;1;2019-12-08;13980;Лист 4 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;965.45698925;966.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
14;921180;1;2019-12-08;13994;Лист 6 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;170.03409091;74.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
15;921180;1;2019-12-08;13979;Лист 8 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;77.52352941;78.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
16;921180;1;2019-12-08;14032;Лист 20 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;2595.61038961;2442.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
17;921180;1;2019-12-08;17530;Круг 60 ГОСТ 2590-2006 С345-5 ГОСТ 27772-2015;94.94117647;95.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
18;921180;1;2019-12-08;14025;Круг 16 ГОСТ 2590-2006 С345-5 ГОСТ 27772-2015;1721.93333333;1722.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
19;921180;1;2019-12-08;14580;Круг 10 ГОСТ 2590-2006 С345-5 ГОСТ 27772-2015;1.07647059;2.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
20;921180;1;2019-12-08;14582;Круг 20 ГОСТ 2590-2006 С345-5 ГОСТ 27772-2015;1857.51111111;1858.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
21;921180;1;2019-12-08;13077;Лист ромб 4 ГОСТ 8568-77 ст3 ГОСТ 380-2005;2026.01176471;2027.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
22;921180;1;2019-12-08;17532;Труба 51х2,5 ГОСТ 10704-91 С345-5 ГОСТ 27772-2015;26.38235294;27.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
23;921180;1;2019-12-08;17313;Труба ДУ 32х42,3х3,2 ГОСТ 3262-75 ст3 ГОСТ 380-2005;0.0;364.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
24;921180;1;2019-12-08;17531;Труба профильная 40х40х3 ГОСТ 30245-94 С345-5 ГОСТ 27772-2015;51.33333333;52.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
25;921180;1;2019-12-08;17534;Уголок 140х140х12 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;607.85882353;608.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
26;921180;1;2019-12-08;17535;Уголок 35х35х4 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;115.76344086;116.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
27;921180;1;2019-12-08;17536;Уголок 50х50х4 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;1409.67741935;1410.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
28;921180;1;2019-12-08;14029;Уголок 32х32х4 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;2347.11827957;2348.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
29;921180;1;2019-12-08;14545;Уголок 50х50х5 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;233.11290323;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
30;921180;1;2019-12-08;14541;Уголок 90х90х7 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;82.06666667;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
31;921180;1;2019-12-08;14573;Уголок 70х70х6 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;1952.375;1953.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
32;921180;1;2019-12-08;14544;Уголок 125х125х8 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;1742.42777778;1743.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
33;921180;1;2019-12-08;14572;Уголок 45х45х4 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;13.20430108;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
34;921180;1;2019-12-08;14967;Уголок 110х110х8 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;3308.79444444;2800.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
35;921180;1;2019-12-08;00-00001054;Труба ДУ-Ц-Р 32х42,3х3,2 ГОСТ 3262-75 ст3 ГОСТ 380-2005;363.52941176;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921180-1;0.0;0.0;0.0;0.0;0.0
36;921181;1;2019-12-14;4440;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.32;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
37;921181;1;2019-12-14;13978;Лист 10 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;1936.24941176;1937.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
38;921181;1;2019-12-14;14026;Лист 12 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;185.83448276;186.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
39;921181;1;2019-12-14;13980;Лист 4 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;1746.02903226;1738.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
40;921181;1;2019-12-14;13994;Лист 6 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;301.24431818;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
41;921181;1;2019-12-14;13979;Лист 8 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;139.54235294;140.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
42;921181;1;2019-12-14;14032;Лист 20 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;4672.0987013;4673.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
43;921181;1;2019-12-14;17530;Круг 60 ГОСТ 2590-2006 С345-5 ГОСТ 27772-2015;170.89411765;10.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
44;921181;1;2019-12-14;14025;Круг 16 ГОСТ 2590-2006 С345-5 ГОСТ 27772-2015;3099.48;3100.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
45;921181;1;2019-12-14;14582;Круг 20 ГОСТ 2590-2006 С345-5 ГОСТ 27772-2015;3343.52;3344.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
46;921181;1;2019-12-14;13077;Лист ромб 4 ГОСТ 8568-77 ст3 ГОСТ 380-2005;3646.82117647;3615.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
47;921181;1;2019-12-14;17313;Труба ДУ 32х42,3х3,2 ГОСТ 3262-75 ст3 ГОСТ 380-2005;0.0;655.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
48;921181;1;2019-12-14;17531;Труба профильная 40х40х3 ГОСТ 30245-94 С345-5 ГОСТ 27772-2015;92.4;93.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
49;921181;1;2019-12-14;17534;Уголок 140х140х12 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;1094.14588235;908.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
50;921181;1;2019-12-14;17535;Уголок 35х35х4 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;208.37419355;209.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
51;921181;1;2019-12-14;17536;Уголок 50х50х4 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;2537.41935484;2538.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
52;921181;1;2019-12-14;14029;Уголок 32х32х4 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;4224.81290323;4225.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
53;921181;1;2019-12-14;14545;Уголок 50х50х5 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;406.10322581;407.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
54;921181;1;2019-12-14;14541;Уголок 90х90х7 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;147.72;110.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
55;921181;1;2019-12-14;14573;Уголок 70х70х6 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;3514.275;3515.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
56;921181;1;2019-12-14;14544;Уголок 125х125х8 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;3136.37;2915.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
57;921181;1;2019-12-14;14572;Уголок 45х45х4 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;23.76774194;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
58;921181;1;2019-12-14;14967;Уголок 110х110х8 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;5955.83;5956.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
59;921181;1;2019-12-14;00-00001054;Труба ДУ-Ц-Р 32х42,3х3,2 ГОСТ 3262-75 ст3 ГОСТ 380-2005;654.35294118;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790, Спецификация №  23(1784) от 17.07.2019;921181-1;0.0;0.0;0.0;0.0;0.0
60;921713;1;2019-12-17;4440;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.26666667;0.0;0.0;1.0;0.0;СТЭ ООО;Договор поставки №90/10-19 от 06.11.2019, Спецификация №1 от 06.11.2019 г;921713-1;0.0;0.0;0.0;0.0;0.0
61;921713;1;2019-12-17;11269;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;487.82117647;0.0;0.0;1.0;0.0;СТЭ ООО;Договор поставки №90/10-19 от 06.11.2019, Спецификация №1 от 06.11.2019 г;921713-1;0.0;0.0;0.0;0.0;0.0
62;921713;1;2019-12-17;11280;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;1533.69350649;0.0;0.0;1.0;0.0;СТЭ ООО;Договор поставки №90/10-19 от 06.11.2019, Спецификация №1 от 06.11.2019 г;921713-1;0.0;0.0;0.0;0.0;0.0
63;921713;1;2019-12-17;14979;Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;211.48636364;0.0;0.0;1.0;0.0;СТЭ ООО;Договор поставки №90/10-19 от 06.11.2019, Спецификация №1 от 06.11.2019 г;921713-1;0.0;0.0;0.0;0.0;0.0
64;921713;1;2019-12-17;11270;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;205.07096774;0.0;0.0;1.0;0.0;СТЭ ООО;Договор поставки №90/10-19 от 06.11.2019, Спецификация №1 от 06.11.2019 г;921713-1;0.0;0.0;0.0;0.0;0.0
65;921713;1;2019-12-17;14228;Круг 16 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;59.52;0.0;0.0;1.0;0.0;СТЭ ООО;Договор поставки №90/10-19 от 06.11.2019, Спецификация №1 от 06.11.2019 г;921713-1;0.0;0.0;0.0;0.0;0.0
66;921713;1;2019-12-17;11268;Уголок 32х32х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;633.22580645;0.0;0.0;1.0;0.0;СТЭ ООО;Договор поставки №90/10-19 от 06.11.2019, Спецификация №1 от 06.11.2019 г;921713-1;0.0;0.0;0.0;0.0;0.0
67;921713;1;2019-12-17;11275;Уголок 70х70х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;1034.2173913;0.0;0.0;1.0;0.0;СТЭ ООО;Договор поставки №90/10-19 от 06.11.2019, Спецификация №1 от 06.11.2019 г;921713-1;0.0;0.0;0.0;0.0;0.0
68;921713;1;2019-12-17;11278;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;1148.02580645;0.0;0.0;1.0;0.0;СТЭ ООО;Договор поставки №90/10-19 от 06.11.2019, Спецификация №1 от 06.11.2019 г;921713-1;0.0;0.0;0.0;0.0;0.0
69;921713;1;2019-12-17;11283;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;4013.05806452;0.0;0.0;1.0;0.0;СТЭ ООО;Договор поставки №90/10-19 от 06.11.2019, Спецификация №1 от 06.11.2019 г;921713-1;0.0;0.0;0.0;0.0;0.0
70;921713;1;2019-12-17;12036;Уголок 100х100х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;3675.65217391;0.0;0.0;1.0;0.0;СТЭ ООО;Договор поставки №90/10-19 от 06.11.2019, Спецификация №1 от 06.11.2019 г;921713-1;0.0;0.0;0.0;0.0;0.0
71;921713;1;2019-12-17;12037;Уголок 125х125х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;4741.06666667;0.0;0.0;1.0;0.0;СТЭ ООО;Договор поставки №90/10-19 от 06.11.2019, Спецификация №1 от 06.11.2019 г;921713-1;0.0;0.0;0.0;0.0;0.0
72;921713;1;2019-12-17;13501;Швеллер 12 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;54.08;0.0;0.0;1.0;0.0;СТЭ ООО;Договор поставки №90/10-19 от 06.11.2019, Спецификация №1 от 06.11.2019 г;921713-1;0.0;0.0;0.0;0.0;0.0
73;921713;1;2019-12-17;00-00000512;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;3388.16;0.0;0.0;1.0;0.0;СТЭ ООО;Договор поставки №90/10-19 от 06.11.2019, Спецификация №1 от 06.11.2019 г;921713-1;0.0;0.0;0.0;0.0;0.0
75;92104;1;2019-12-18;4440;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.03555556;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ННГ;59_30915_30215, Спецификация №  4 от 25.12.2018;92104-1;0.0;0.0;0.0;0.0;0.0
81;92104;1;2019-12-18;13207;Лист 12 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;20.64827586;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ННГ;59_30915_30215, Спецификация №  4 от 25.12.2018;92104-1;0.0;0.0;0.0;0.0;0.0
82;92104;1;2019-12-18;13208;Лист 20 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;422.54025974;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ННГ;59_30915_30215, Спецификация №  4 от 25.12.2018;92104-1;0.0;0.0;0.0;0.0;0.0
83;92104;1;2019-12-18;13209;Лист 4 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;204.02688172;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ННГ;59_30915_30215, Спецификация №  4 от 25.12.2018;92104-1;0.0;0.0;0.0;0.0;0.0
84;92104;1;2019-12-18;13210;Лист 6 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;19.02386364;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ННГ;59_30915_30215, Спецификация №  4 от 25.12.2018;92104-1;0.0;0.0;0.0;0.0;0.0
85;92104;1;2019-12-18;13211;Лист 8 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;105.91411765;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ННГ;59_30915_30215, Спецификация №  4 от 25.12.2018;92104-1;0.0;0.0;0.0;0.0;0.0
86;92104;1;2019-12-18;13777;Лист 10 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;215.13882353;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ННГ;59_30915_30215, Спецификация №  4 от 25.12.2018;92104-1;0.0;0.0;0.0;0.0;0.0
90;92104;1;2019-12-18;13205;Круг 16 ГОСТ 2590-2006 С345-6 ГОСТ 27772-2015;344.38666667;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ННГ;59_30915_30215, Спецификация №  4 от 25.12.2018;92104-1;0.0;0.0;0.0;0.0;0.0
92;92104;1;2019-12-18;15440;Круг 20 ГОСТ 2590-2006 С345-6 ГОСТ 27772-2015;371.50222222;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ННГ;59_30915_30215, Спецификация №  4 от 25.12.2018;92104-1;0.0;0.0;0.0;0.0;0.0
93;92104;1;2019-12-18;15441;Круг 60 ГОСТ 2590-2006 С345-6 ГОСТ 27772-2015;18.98823529;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ННГ;59_30915_30215, Спецификация №  4 от 25.12.2018;92104-1;0.0;0.0;0.0;0.0;0.0
94;92104;1;2019-12-18;13077;Лист ромб 4 ГОСТ 8568-77 ст3 ГОСТ 380-2005;405.20235294;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ННГ;59_30915_30215, Спецификация №  4 от 25.12.2018;92104-1;0.0;0.0;0.0;0.0;0.0
97;92104;1;2019-12-18;15443;Труба профильная 40х40х3 ГОСТ 30245-94 С345-6 ГОСТ 27772-2015;10.26666667;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ННГ;59_30915_30215, Спецификация №  4 от 25.12.2018;92104-1;0.0;0.0;0.0;0.0;0.0
102;92104;1;2019-12-18;13214;Уголок 125х125х8 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;348.48555556;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ННГ;59_30915_30215, Спецификация №  4 от 25.12.2018;92104-1;0.0;0.0;0.0;0.0;0.0
103;92104;1;2019-12-18;13215;Уголок 32х32х4 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;469.42365591;0.0;0.0;1.0;0.0;ГАЗПРОМНЕФТЬ-ННГ;59_30915_30215, Спецификация №  4 от 25.12.2018;92104-1;0.0;0.0;0.0;0.0;0.0
