Дата запуска;0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;13.0;15.0;17.0
Дата запуска;2020-02-06 00:00:00;2020-02-07 00:00:00;2020-02-08 00:00:00;2020-02-09 00:00:00;2020-02-10 00:00:00;2020-02-11 00:00:00;2020-02-12 00:00:00;2020-02-13 00:00:00;2020-02-14 00:00:00;2020-02-15 00:00:00;2020-02-16 00:00:00;2020-02-17 00:00:00;2020-02-19 00:00:00;2020-02-21 00:00:00;2020-02-23 00:00:00
Номенклатура;;;;;;;;;;;;;;;
Лист 6 ГОСТ 19903-74 ст3 ГОСТ 380-2005;257.69090909;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;1628.09099999;523.05882353;1340.57411765;12.8;99.04705881999999;2150.97294116;750.72941176;0.0;726.17058824;127.87764706;816.2;50.16941176;1088.97882353;1088.97882353;0.0
Лист 8 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;5502.48723529;2906.37688235;0.0;0.0;3512.74941176;0.24958824;0.0;4123.66235294;0.0;0.0;0.0;821.64705882;0.0;1314.59294117;2191.05882353
Лист 8 ГОСТ 19903-74 ст3 ГОСТ 380-2005;179.72705882;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Лист ГЦ(Прокат 03) 1,5 Ц350 ГОСТ Р 52246-2016;0.0;0.0;0.0;66.36666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;0.0;0.0;0.0;0.0;0.0;0.0;1441.7987500000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Лист ПВ 506 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;0.0;0.0;0.0;0.0;0.0;379.15;0.0;0.0;142.18125;0.0;236.96875;0.0;0.0;0.0;0.0
Лист ромб 4 ГОСТ 8568-77 ст3 ГОСТ 380-2005;0.0;0.0;0.0;0.0;810.40470588;499.43529412;0.0;0.0;43.92352941;0.0;73.20588235;1682.65411764;0.0;0.0;0.0
Труба 127х10 ГОСТ 8732-78 ст3 ГОСТ 380-2005;59.74588235;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Труба 146х8 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;4703.37805881;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Труба 530х9 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;215.85666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Труба 73х8 ГОСТ 8732-78 09Г2С-12 ГОСТ 19821-2014;0.0;0.0;0.0;0.0;0.0;465.6;0.0;0.0;174.6;0.0;291.0;0.0;0.0;0.0;0.0
Труба ДУ-Ц- 32х42,3х3,2 ГОСТ 3262-75 ст3 ГОСТ 380-2005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;399.90588236;0.0;0.0;0.0
Труба ДУ-Ц-Р 32х42,3х3,2 ГОСТ 3262-75 ст3 ГОСТ 380-2005;0.0;0.0;0.0;0.0;145.4117647;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Труба профильная 180х140х6 ГОСТ 30245-94 ст3 ГОСТ 380-2005;1194.88888889;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Труба профильная 40х40х3 ГОСТ 30245-94 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;20.53333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Уголок 100х100х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;548.8826087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Уголок 100х100х7 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;0.0;0.0;0.0;0.0;13192.1382174;0.0;0.0;23179.73478261;0.0;0.0;0.0;1606.7804347800002;2497.63478261;3582.50869566;3966.95652174
Уголок 100х100х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2014.7523478299981;4900.03478261;0.0
Уголок 100х100х8 ГОСТ 8509-86 ст3 ГОСТ 380-2005;429.33913043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Уголок 125х125х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;1187.4962352999996;0.0;0.0;1550.56941176;0.0;2584.28235294;2617.37411764;0.0;0.0;0.0
Уголок 125х125х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3188.5762221899904;0.0
Уголок 125х125х9 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;3533.38666667;0.0;0.0;1508.56666667;0.0;2210.55555556;0.0;0.0;0.0;0.0
Уголок 125х125х9 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;5353.151111110001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Уголок 140х140х12 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;2083.20941177;0.0;0.0;2067.02470588;0.0;3445.04117647;0.0;0.0;0.0;0.0
Уголок 32х32х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1668.920580660002;731.1483871;731.1483871;0.0
Уголок 40х40х4 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;816.2131827700061;1958.27956989
Уголок 45х45х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3670.9308817399997;5422.58924731;0.0
Уголок 45х45х4 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;660.85161291;1174.84731183
Уголок 45х45х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;3980.97204301;0.0;0.0;1201.83225806;0.0;2487.67741935;0.0;0.0;0.0;0.0
Уголок 50х50х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;377.7655914;0.0;0.0;0.0;563.87096774;0.0;0.0;0.0;0.0;0.0;0.0;1410.32258064;0.0;0.0;0.0
Уголок 50х50х4 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;827.70967742;0.0;0.0;0.0;6345.77419355;0.0;0.0;7449.387096779999;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1806.1256988999946;3027.30322581;0.0
Уголок 50х50х5 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;833.44516129;2331.66774193;4145.18709677
Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;7276.284913969999;0.0;897.54838709;0.0;0.0;0.0;0.0;0.0;0.0;5753.008602149999;0.0;0.0;3747.09677419;3747.09677419;0.0
Уголок 63х63х5 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;37607.49139785;27925.07311828;0.0;0.0;27847.97956989;191.99569892;0.0;32691.10645161;0.0;0.0;0.0;15369.89354839;3329.40215054;11035.71290322;20309.14408602
Уголок 70х70х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;1417.29130435;0.0;780.95;0.0;0.0;0.0;2356.96304348;4009.4673912999997;3928.27173913;1755.83913044;0.0;0.0;0.0
Уголок 70х70х6 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;0.0;7656.198565209999;0.0;0.0;18280.1;25.55652174;0.0;21459.24782609;0.0;0.0;0.0;9359.77173914;3290.53913043;6067.9173912999995;6720.06956522
Уголок 75х75х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;1024.32173914;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
