Дата потребности;Порядковый номер;Заказ-Партия;Номенклатура потребности;Потребность из файла;Потребность нач;Потребность кон;Списание потребности;Склад;Дата списания остат;Номенклатура Списания;Остатки нач;Остатки кон;Списание остатков;Дата учета
2020-01-23;4645;0009-1;Гайка М24-6h.5.Гл ГОСТ 5915-70;0.0;0.246;0.0;0.246;Центральный склад;2020-05-12;Гайка М24-6h.5.Гл ГОСТ 5915-70;2.621;2.375;0.246;2020-01-23
2020-01-23;4648;0009-1;Круг 50 ГОСТ 2590-2006 45 ГОСТ 1050-88;1.5390000000000001;2.539;1.5390000000000001;1.0;Центральный склад;2020-05-12;Круг 50 ГОСТ 2590-2006 45 ГОСТ 1050-88;1.0;0.0;1.0;2020-01-23
2020-02-07;5608;0023-1;Шайба 27 Гл ГОСТ 11371-78;0.0;4.357;0.0;4.357;Центральный склад;2020-05-12;Шайба 27 Гл ГОСТ 11371-78;352.535;348.178;4.357;2020-02-07
2020-02-07;5609;0023-1;Шайба 27 Гл ГОСТ 6402-70;0.0;3.1;0.0;3.1;Центральный склад;2020-05-12;Шайба 27 Гл ГОСТ 6402-70;75.339;72.239;3.1;2020-02-07
2020-02-17;6219;0016-1;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;0.0;28.189;0.0;28.189;Центральный склад;2020-05-12;Лист 0,5 ГОСТ 19903-2015 12Х18Н10Т ГОСТ 5582-75;61.33;33.141;28.189;2020-02-17
2020-02-28;6685;0030-1;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;77.227;0.0;77.227;Центральный склад;2020-05-12;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;1041.12;963.8929999999999;77.227;2020-02-28
2020-02-28;6685;0030-1;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;Центральный склад;2020-05-12;Уголок 90х90х7 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;2082.24;2082.24;0.0;2020-02-28
2020-02-28;6684;0030-1;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;0.0;51.308;0.0;51.308;Центральный склад;2020-05-12;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;1673.88;1622.5720000000001;51.308;2020-02-28
2020-03-06;7094;0040-1;Лист 12 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;0.0;28.765;0.0;28.765;Центральный склад;2020-05-12;Лист 12 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;12717.235;12688.470000000001;28.765;2020-03-06
2020-03-06;7095;0040-1;Лист 4 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;0.0;22.596;0.0;22.596;Центральный склад;2020-05-12;Лист 4 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;181.963;159.367;22.596;2020-03-06
2020-03-06;7096;0040-1;Шайба 20 Гл ГОСТ 11371-78;0.0;0.12;0.0;0.12;Центральный склад;2020-05-12;Шайба 20 Гл ГОСТ 11371-78;911.415;911.295;0.12;2020-03-06
2020-03-17;6983;0038-1;Лист 4 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;63.513;0.0;63.513;Центральный склад;2020-05-12;Лист 4 ГОСТ 19903-2015 09Г2С-15 ГОСТ 19281-2014;159.367;95.85399999999998;63.513;2020-03-17
2020-03-17;6981;0038-1;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;0.0;14.331;0.0;14.331;Центральный склад;2020-05-12;Лист 10 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;2119.5;2105.169;14.331;2020-03-17
