Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Изделие;Заказ-Партия;Закуп подтвержден;Возможный заказ;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
9864;02879;1;2020-05-31;00000011283;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;138.538;0.0;138.538;0.0;0.0;Полюс  Красноярск АО;2;0;0.0;0;Анкерно-угловая опора 1У110-4 Проект: 3.407.2-170;02879-1;1.0;0.0;0.0;0.0;0.0;138.538;0.0
9863;02879;1;2020-05-31;00000011278;Уголок 50х50х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;416.722;0.0;416.722;0.0;0.0;Полюс  Красноярск АО;2;0;0.0;0;Анкерно-угловая опора 1У110-4 Проект: 3.407.2-170;02879-1;1.0;0.0;0.0;0.0;0.0;416.722;0.0
9862;02879;1;2020-05-31;00000011275;Уголок 70х70х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;1518.026;0.0;1518.026;0.0;0.0;Полюс  Красноярск АО;2;0;0.0;0;Анкерно-угловая опора 1У110-4 Проект: 3.407.2-170;02879-1;1.0;0.0;0.0;0.0;0.0;0.0;1518.026
9861;02879;1;2020-05-31;00000015205;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;409.04;0.0;409.04;0.0;0.0;Полюс  Красноярск АО;2;0;0.0;0;Анкерно-угловая опора 1У110-4 Проект: 3.407.2-170;02879-1;1.0;0.0;0.0;0.0;0.0;0.0;409.04
9860;02879;1;2020-05-31;00000015180;Лист 30 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;467.792;0.0;467.792;0.0;0.0;Полюс  Красноярск АО;2;0;0.0;0;Анкерно-угловая опора 1У110-4 Проект: 3.407.2-170;02879-1;1.0;0.0;0.0;0.0;0.0;0.0;467.792
9859;02879;1;2020-05-31;00000014979;Лист 6 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;11.564;0.0;11.564;0.0;0.0;Полюс  Красноярск АО;2;0;0.0;0;Анкерно-угловая опора 1У110-4 Проект: 3.407.2-170;02879-1;1.0;0.0;0.0;11.564;0.0;0.0;0.0
9858;02879;1;2020-05-31;00000011267;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;40.23;0.0;40.23;0.0;0.0;Полюс  Красноярск АО;2;0;0.0;0;Анкерно-угловая опора 1У110-4 Проект: 3.407.2-170;02879-1;1.0;0.0;0.0;0.0;0.0;0.0;40.23
9096;02747;4;2020-05-31;00000013980;Лист 4 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;307.602;0.0;307.602;0.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 20.04.2020, Спецификация №1 от 20.04.2020;0;0.0;0;Опора промежуточная ПГ35/110-3,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;02747-4;1.0;0.0;0.0;0.0;0.0;307.602;0.0
9097;02747;4;2020-05-31;00000013994;Лист 6 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;290.79;0.0;290.79;0.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 20.04.2020, Спецификация №1 от 20.04.2020;0;0.0;0;Опора промежуточная ПГ35/110-3,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;02747-4;1.0;0.0;0.0;290.79;0.0;0.0;0.0
9098;02747;4;2020-05-31;00000013979;Лист 8 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;728.892;0.0;728.892;0.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 20.04.2020, Спецификация №1 от 20.04.2020;0;0.0;0;Опора промежуточная ПГ35/110-3,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;02747-4;1.0;0.0;0.0;0.0;0.0;0.0;728.892
9099;02747;4;2020-05-31;00000014032;Лист 20 ГОСТ 19903-74 С345-5 ГОСТ 27772-2015;2262.762;0.0;2262.762;0.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 20.04.2020, Спецификация №1 от 20.04.2020;0;0.0;0;Опора промежуточная ПГ35/110-3,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;02747-4;1.0;0.0;0.0;0.0;0.0;0.0;2262.762
9100;02747;4;2020-05-31;00000014025;Круг 16 ГОСТ 2590-2006 С345-5 ГОСТ 27772-2015;89.28;0.0;89.28;0.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 20.04.2020, Спецификация №1 от 20.04.2020;0;0.0;0;Опора промежуточная ПГ35/110-3,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;02747-4;1.0;0.0;0.0;0.0;0.0;0.0;89.28
9101;02747;4;2020-05-31;00000014029;Уголок 32х32х4 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;896.184;0.0;896.184;0.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 20.04.2020, Спецификация №1 от 20.04.2020;0;0.0;0;Опора промежуточная ПГ35/110-3,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;02747-4;1.0;0.0;0.0;0.0;0.0;0.0;896.184
9102;02747;4;2020-05-31;00000014033;Уголок 100х100х8 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;5512.86;0.0;5512.86;0.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 20.04.2020, Спецификация №1 от 20.04.2020;0;0.0;0;Опора промежуточная ПГ35/110-3,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;02747-4;1.0;0.0;0.0;0.0;0.0;0.0;5512.86
9104;02747;4;2020-05-31;00000014545;Уголок 50х50х5 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;1892.61;0.0;1892.61;0.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 20.04.2020, Спецификация №1 от 20.04.2020;0;0.0;0;Опора промежуточная ПГ35/110-3,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;02747-4;1.0;0.0;0.0;0.0;0.0;1892.61;0.0
9105;02747;4;2020-05-31;00000014541;Уголок 90х90х7 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;7157.754;0.0;7157.754;0.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 20.04.2020, Спецификация №1 от 20.04.2020;0;0.0;0;Опора промежуточная ПГ35/110-3,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;02747-4;1.0;0.0;0.0;0.0;0.0;0.0;7157.754
9106;02747;4;2020-05-31;00000014573;Уголок 70х70х6 ГОСТ 8509-86 С345-5 ГОСТ 27772-2015;1543.572;0.0;1543.572;0.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 20.04.2020, Спецификация №1 от 20.04.2020;0;0.0;0;Опора промежуточная ПГ35/110-3,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;02747-4;1.0;0.0;0.0;0.0;0.0;0.0;1543.572
9108;02747;4;2020-05-31;00000014574;Швеллер 12 П ГОСТ 8240-89 С345-5 ГОСТ 27772-2015;79.632;0.0;79.632;0.0;0.0;ЮВЭС ООО;ЮВЭС/05-01 от 20.04.2020, Спецификация №1 от 20.04.2020;0;0.0;0;Опора промежуточная ПГ35/110-3,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;02747-4;1.0;0.0;0.0;0.0;0.0;0.0;79.632
9442;02792;1;2020-05-31;00-00002762;Табличка 63х80 12Х18Н10Т;0.02;0.0;0.02;0.0;0.0;Полюс  Красноярск АО;спецификация 1;0;0.0;2020-05-14 00:00:00;Анкерно-угловая опора 1У35-2+5 Проект: 3.407.2-170;02792-1;1.0;0.0;0.0;0.0;0.0;0.0;0.02
9439;02792;1;2020-05-31;00000013731;Уголок 140х140х9 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;610.769;0.0;610.769;0.0;0.0;Полюс  Красноярск АО;спецификация 1;0;0.0;2020-05-14 00:00:00;Анкерно-угловая опора 1У35-2+5 Проект: 3.407.2-170;02792-1;1.0;0.0;0.0;0.0;0.0;0.0;610.769
