Дата запуска;0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;23.0;24.0;25.0;26.0;27.0;28.0;29.0;32.0;34.0;36.0;37.0;38.0;39.0;40.0
Дата запуска;2020-02-20 00:00:00;2020-02-21 00:00:00;2020-02-22 00:00:00;2020-02-23 00:00:00;2020-02-24 00:00:00;2020-02-25 00:00:00;2020-02-26 00:00:00;2020-02-27 00:00:00;2020-02-28 00:00:00;2020-02-29 00:00:00;2020-03-01 00:00:00;2020-03-02 00:00:00;2020-03-03 00:00:00;2020-03-04 00:00:00;2020-03-05 00:00:00;2020-03-06 00:00:00;2020-03-07 00:00:00;2020-03-08 00:00:00;2020-03-09 00:00:00;2020-03-10 00:00:00;2020-03-11 00:00:00;2020-03-12 00:00:00;2020-03-14 00:00:00;2020-03-15 00:00:00;2020-03-16 00:00:00;2020-03-17 00:00:00;2020-03-18 00:00:00;2020-03-19 00:00:00;2020-03-20 00:00:00;2020-03-23 00:00:00;2020-03-25 00:00:00;2020-03-27 00:00:00;2020-03-28 00:00:00;2020-03-29 00:00:00;2020-03-30 00:00:00;2020-03-31 00:00:00
Номенклатура;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Круг 20 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;1151.36;0.0;147.302;0.588;0.0;743.984;0.644;0.0;0.0;1.288;0.0;0.0;0.0;0.0;258.38;0.0;0.0;0.0;0.0;0.0;0.0;258.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;103.352
Круг 20 ГОСТ 2590-2006 С345-3 ГОСТ 27772-2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.372;0.0;0.0;0.0
Круг 24 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;0.0;44.966;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;112.645;0.0;0.0;22.529;0.0;0.0;0.0;112.645;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.058
Круг 25 ГОСТ 2590-2006 45 ГОСТ 1050-88;0.942;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Круг 26 ГОСТ 2590-2006 40 ГОСТ 1050-88;194.667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Круг 28 ГОСТ 2590-2006 40 ГОСТ 1050-88;225.667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Круг 32 ГОСТ 2590-2006 40 ГОСТ 1050-88;274.667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Круг 40 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;184.144;0.0;0.0;69.054;0.0;115.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Круг 6 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Круг 60 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.976;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
