Дата запуска;Заказ-Партия;Заказчик;Спецификация;Номенклатура;Дефицит
2020-05-04;02702-1;Омский каучук ПАО;24/04-20 от 13.04.2020, Спецификация №1 от 13.04.2020;Труба 73х6 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;32.647
2020-05-04;02702-1;Омский каучук ПАО;24/04-20 от 13.04.2020, Спецификация №1 от 13.04.2020;Уголок 45х45х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;11.26
2020-05-29;02528-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Труба 530х9 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;96.363
2020-05-29;02530-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Труба 530х9 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;32.121
2020-06-01;02519-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Труба ДУ 25х33,5х3,2 ГОСТ 3262-75 ст3 ГОСТ 380-2005;56.47
2020-06-01;02507-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Труба ДУ 25х33,5х3,2 ГОСТ 3262-75 ст3 ГОСТ 380-2005;28.235
2020-06-01;02525-1;ЖДСК Эталон-Н;105/12-19 от 27.12.2019, Спецификация №2 от 25.03.2020;Труба ДУ 25х33,5х3,2 ГОСТ 3262-75 ст3 ГОСТ 380-2005;28.235
