Дата запуска;Заказ-Партия;Заказчик;Спецификация;Номенклатура;Дефицит
2020-05-26;02616-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №50 от 30.03.2020;Труба 219х9 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;65.254
2020-05-26;02642-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №51 от 30.03.2020;Труба 219х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;326.27
2020-05-26;02619-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №50 от 30.03.2020;Труба 219х9 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;65.254
2020-05-26;02617-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №50 от 30.03.2020;Труба 219х9 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;65.254
2020-05-26;02618-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №50 от 30.03.2020;Труба 219х9 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;65.254
2020-06-08;0244-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №44 от 17.01.2020;Труба 219х9 ГОСТ 8732-78 С345-1 ГОСТ 27772-2015;65.254
2020-06-08;0242-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №44 от 17.01.2020;Труба 219х9 ГОСТ 8732-78 С345-1 ГОСТ 27772-2015;65.254
2020-06-08;0243-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №44 от 17.01.2020;Труба 219х9 ГОСТ 8732-78 С345-1 ГОСТ 27772-2015;65.254
2020-06-08;0251-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №44 от 17.01.2020;Труба 219х9 ГОСТ 8732-78 С345-1 ГОСТ 27772-2015;65.254
2020-06-08;0249-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №44 от 17.01.2020;Труба 219х9 ГОСТ 8732-78 С345-1 ГОСТ 27772-2015;65.254
2020-06-08;0250-1;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;ПТ/ОЭМЗ-01/18 от 26.02.2018, Спецификация №44 от 17.01.2020;Труба 219х9 ГОСТ 8732-78 С345-1 ГОСТ 27772-2015;65.254
