Артикул	Номенклатура	Ед. изм.	Количество
526	Труба 273х12 ГОСТ 8732-78 20 ГОСТ 1050-88	кг	2 548,920
4304	Труба 273х14 ГОСТ 8732-78 09Г2С-1 ГОСТ 19281-89	кг	3 219,120
525	Труба 273х14 ГОСТ 8732-78 20 ГОСТ 1050-88	кг	3 219,120
7577	Труба 273х8 ГОСТ 10704-91 09Г2С-14 ГОСТ 19281-89	кг	627,360
10323	Труба 273х8 ГОСТ 10705-80 С345-3 ГОСТ 27772-88	кг	627,360
5387	Труба 325х10 ГОСТ 10704-91 09Г2С-1 ГОСТ 19281-89	кг	13 345,424
4443	Труба 325х10 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-89	кг	823,408
11274	Труба 325х8 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014	кг	1 000,640
17443	Труба 325х8 ГОСТ 10705-80 09Г2С-15 ГОСТ 19281-2014	кг	3 282,100
11273	Труба 325х9 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014	кг	1 213,422
17102	Труба 325х9 ГОСТ 10705-80 09Г2С-15 ГОСТ 19281-2014	кг	841,200
11854	Труба 325х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014	кг	736,470
13872	Труба 32х3,2 ГОСТ 3262-75 ст3 ГОСТ 380-2005	кг	556,200
10782	Труба 351х10 ГОСТ 8732-78 С345-3 ГОСТ 27772-88	кг	2 319,478
14024	Труба 426х9 ГОСТ 8732-78 345-09Г2С-12 ГОСТ 19281-2014	кг	657,176
9551	Труба 426х9 ГОСТ 8732-78 ст3сп ГОСТ 380-2005	кг	4 183,712
9547	Труба 42х3 ГОСТ 8732-78 ст3сп ГОСТ 380-2005	кг	2 797,520
18434	Труба 48х2,5 ГОСТ 8734-75 09Г2С-15 ГОСТ 19281-2014	кг	50,490
18433	Труба 48х4 ГОСТ 8734-75 09Г2С-15 ГОСТ 19281-2014	кг	86,800
18435	Труба 50х4 ГОСТ 8734-75 20 ГОСТ 8733-74	кг	326,736
16479	Труба 51х3,5 ГОСТ 8732-78 20 ГОСТ 1050-88	кг	82,000
18268	Труба 51х4 ГОСТ 8732-78 20 ГОСТ 8731-74	кг	257,632
16800	Труба 530х12 ГОСТ 10704-91 09Г2С-15 ГОСТ 19281-2014	кг	0,481
5127	Труба 530х8 ГОСТ 10704-91 09Г2С-15 ГОСТ 19281-89	кг	19 732,884
16686	Труба 57х3,5 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014	кг	8,085
667	Труба 57х5 ГОСТ 8732-78 09Г2С-1 ГОСТ 19281-2014	кг	326,910
7594	Труба 57х6 ГОСТ 8732-78 09Г2С-1 ГОСТ 19281-89	кг	87,580
9545	Труба 60х4 ГОСТ 8732-78 ст3сп ГОСТ 380-2005	кг	587,880
530	Труба 70х5 ГОСТ 8732-78 20 ГОСТ 1050-88	кг	2 005,000
18440	Труба 720х10 ГОСТ 20295-85 17Г1С-У ГОСТ 19281-2014	кг	4 132,124
12365	Труба 73х6 ГОСТ 8732-78 С345-3 ГОСТ 27772-2015	кг	91,172
154	Труба 76х4 ГОСТ 8732-78 09Г2С-1 ГОСТ 19281-89	кг	142,000
9562	Труба 76х4 ГОСТ 8732-78 ст3сп ГОСТ 380-2005	кг	1 669,920
11191	Труба 76х6 ГОСТ Р 53383-2009 09Г2С-1 ГОСТ 32528-2013	кг	124,320
9550	Труба 89х4 ГОСТ 10704-91 ст3сп ГОСТ 380-2005	кг	764,256
17413	Труба 89х5 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014	кг	113,960
9653	Труба 89х6 ГОСТ 8732-78 ст3сп ГОСТ 380-2005	кг	929,596
12918	Труба ДУ 25х33,5х3,2 ГОСТ 3262-75 ст3 ГОСТ 380-2005	кг	466,050
12057	Труба профильная 100х100х4 ГОСТ 30245-94100 09Г2С-15 ГОСТ 19281-2014	кг	11 542,320
5179	Труба профильная 100х100х9 ГОСТ 30245-94 ст3сп ГОСТ 380-2005	кг	3 318,000
4952	Труба профильная 120х120х4 ГОСТ 30245-94 09Г2С-12 ГОСТ 19281-89	кг	348,000
15186	Труба профильная 120х120х5 ГОСТ 30245-94 09Г2С-14 ГОСТ 19281-2014	кг	421,200
3010	Труба профильная 120х120х6 ГОСТ 30245-94 С345-3 ГОСТ 27772-88	кг	3 984,000
4400	Труба профильная 140х140х6 ГОСТ 30245-94 С345-3 ГОСТ 27772-88	кг	294,240
7704	Труба профильная 140х140х8 ГОСТ 30245-2003 С345-3 ГОСТ 27772-88	кг	754,320
6707	Труба профильная 160х120х6 ГОСТ 30245-94 09Г2С-12 ГОСТ 19281-89	кг	1 452,550
15187	Труба профильная 160х120х6 ГОСТ 30245-94 09Г2С-14 ГОСТ 19281-2014	кг	499,149
10868	Труба профильная 160х160х5 ГОСТ 30245-94 С345-3 ГОСТ 27772-88	кг	457,536
11959	Труба профильная 180х100х5 ГОСТ 30245-94 С345-3 ГОСТ 27772-88	кг	857,880
7575	Труба профильная 180х140х6 ГОСТ 30245-94 09Г2С-14 ГОСТ 19281-89	кг	433,800
12237	Труба профильная 180х180х5 ГОСТ 30245-94180 09Г2С-15 ГОСТ 19281-2014	кг	323,640
9704	Труба профильная 20х20х2 ГОСТ 8639-82 ст3 ГОСТ 380-2005	кг	109,650
10387	Труба профильная 250х250х10 ГОСТ 30245-94 С345-3 ГОСТ 27772-88	кг	6 103,440
9705	Труба профильная 40х25х2 ГОСТ 8645-68 ст3 ГОСТ 380-2005	кг	53,098
2812	Труба профильная 40х40х3 ГОСТ 8639-82 ст3сп ГОСТ 380-2005	кг	60,480
16038	Труба профильная 60х60х4 ГОСТ 30245-9460 ст3 ГОСТ 380-2005	кг	161,040
16103	Труба профильная 60х60х5 ГОСТ 8639-82 09Г2С-14 ГОСТ 19281-89	кг	298,800
12065	Труба профильная 80х80х4 ГОСТ 30245-94 09Г2С-15 ГОСТ 19281-2014	кг	4 093,680
10747	Труба профильная 80х80х4 ГОСТ 30245-94 С345-1 ГОСТ 27772-88	кг	774,480
17507	Труба профильная 80х80х4 ГОСТ 30245-94 ст3сп-5 ГОСТ 13663-86	кг	110,640
12063	Уголок 100х100х10 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	1 800,000
13789	Уголок 100х100х10 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015	кг	2 520,000
13289	Уголок 100х100х7 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	22 619,077
14538	Уголок 100х100х7 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015	кг	
2728	Уголок 100х100х7 ГОСТ 8509-86 ст3сп ГОСТ 380-2005	кг	13 336,440
11830	Уголок 100х100х8 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	27 220,725
13213	Уголок 100х100х8 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015	кг	147,000
15796	Уголок 110х110х7 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	23 970,240
13730	Уголок 110х110х8 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	28 026,000
14707	Уголок 125х125х10 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	4 354,800
17302	Уголок 125х125х12 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	3 525,600
12957	Уголок 125х125х8 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	41 556,480
269	Уголок 125х125х8 ГОСТ 8509-86 ст3сп ГОСТ 380-2005	кг	7 606,320
15196	Уголок 125х125х9 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	830,400
295	Уголок 125х125х9 ГОСТ 8509-86 ст3сп ГОСТ 380-2005	кг	692,000
15798	Уголок 125х80х8 ГОСТ 8510-93 09Г2С-12 ГОСТ 19281-2014	кг	1 052,520
13737	Уголок 140х140х10 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	14 671,800
15718	Уголок 140х140х12 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	кг	3 366,000
13984	Уголок 140х140х12 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015	кг	306,000
13731	Уголок 140х140х9 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	9 382,794
13320	Уголок 140х140х9 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015	кг	1 397,520
13734	Уголок 160х160х10 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	10 583,430
13903	Уголок 160х160х10 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015	кг	11 545,560
271	Уголок 160х160х10 ГОСТ 8509-86 ст3сп ГОСТ 380-2005	кг	296,040
4201	Уголок 160х160х12 ГОСТ 8509-86 09Г2С-1 ГОСТ 19281-89	кг	352,200
13722	Уголок 160х160х12 ГОСТ 8509-86 С345-3 ГОСТ 27772-2015	кг	1 056,600
15436	Уголок 160х160х12 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015	кг	6 339,600
14706	Уголок 160х160х14 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015	кг	820,800
14704	Уголок 160х160х16 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015	кг	808,920
13739	Уголок 180х180х11 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	11 243,430
14107	Уголок 180х180х11 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015	кг	1 736,790
274	Уголок 180х180х11 ГОСТ 8509-86 ст3сп ГОСТ 380-2005	кг	11 334,840
14900	Уголок 180х180х12 ГОСТ 8509-86 С345-3 ГОСТ 27772-2015	кг	794,880
14750	Уголок 200х200х12 ГОСТ 8509-86 С255-1 ГОСТ 27772-88	кг	443,640
15715	Уголок 200х200х12 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015	кг	1 330,920
16472	Уголок 200х200х16 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	кг	1 751,400
290	Уголок 200х200х16 ГОСТ 8509-86 ст3сп ГОСТ 380-2005	кг	19 265,400
298	Уголок 200х200х20 ГОСТ 8509-86 ст3сп ГОСТ 380-2005	кг	2 883,840
8593	Уголок 200х200х25 ГОСТ 8509-86 С345-3 ГОСТ 27772-88	кг	6 217,680
15762	Уголок 200х200х30 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	кг	1 015,696
15690	Уголок 25х25х4 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	2 400,240
287	Уголок 25х25х4 ГОСТ 8509-86 ст3сп ГОСТ 380-2005	кг	210,240
12062	Уголок 32х32х4 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	11 139,120
13741	Уголок 35х35х4 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	793,800
4864	Уголок 35х35х4 ГОСТ 8509-86 ст3пс ГОСТ 380-2005	кг	680,400
11831	Уголок 40х40х4 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	25 177,120
9342	Уголок 40х40х4 ГОСТ 8509-86 ст3пс-3 ГОСТ 535-88	кг	290,400
15493	Уголок 45х45х4 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	12 612,600
16625	Уголок 45х45х5 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	
13732	Уголок 50х50х4 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	
11824	Уголок 50х50х5 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	24 791,520
11679	Уголок 63х63х4 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	13 150,800
11838	Уголок 63х63х5 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	23 030,280
280	Уголок 63х63х5 ГОСТ 8509-86 ст3сп ГОСТ 380-2005	кг	230,880
15566	Уголок 63х63х6 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	343,200
17312	Уголок 70х70х5 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015	кг	13 170,240
11821	Уголок 70х70х6 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	23 694,120
11288	Уголок 75х75х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014	кг	278,400
12066	Уголок 75х75х6 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	82,680
11839	Уголок 80х80х6 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	
13861	Уголок 80х80х6 ГОСТ 8509-86 С255-1 ГОСТ 27772-2015	кг	3 091,200
18184	Уголок 80х80х8 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	463,200
11832	Уголок 90х90х6 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	15 693,720
12064	Уголок 90х90х7 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	25 449,600
13220	Уголок 90х90х7 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015	кг	4 974,240
15745	Уголок 90х90х8 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014	кг	5 902,200
14738	Швеллер 10 П ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014	кг	1 236,960
15291	Швеллер 12 П ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014	кг	2 121,600
8309	Швеллер 12 У ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014	кг	998,400
15126	Швеллер 14 П ГОСТ 8240-89 С345-6 ГОСТ 27772-2015	кг	4 575,600
18558	Швеллер 14 У ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014	кг	738,000
14705	Швеллер 16 П ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014	кг	170,400
11833	Швеллер 18 П ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014	кг	12 127,200
13790	Швеллер 18 П ГОСТ 8240-89 С345-6 ГОСТ 27772-2015	кг	1 956,000
12058	Швеллер 18 У ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014	кг	11 344,800
11836	Швеллер 20 П ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014	кг	21 417,600
15410	Швеллер 20 У ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014	кг	1 545,600
11840	Швеллер 22 П ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014	кг	1 260,000
11802	Швеллер 24 У ГОСТ 8240-89 С345-6 ГОСТ 27772-2015	кг	8 064,000
4738	Швеллер 27 У ГОСТ 8240-89 С345-3 ГОСТ 27772-88	кг	332,400
18306	Швеллер 30 П ГОСТ 8240-89 С345-6 ГОСТ 19281-2014	кг	43 120,800
13328	Швеллер 6,5 У ГОСТ 8240-89 09Г2С-15 ГОСТ 19281-2014	кг	212,400
14904	Швеллер 8 У ГОСТ 8240-89 345-09Г2С-15 ГОСТ 19281-2014	кг	676,800
12485	Швеллер гнутый 140х60х60х4 ГОСТ 8278-83 С345-3 ГОСТ 27772-88	кг	273,240
9344	Швеллер гнутый 160х50х50х4 ГОСТ 8278-83 С345-3 ГОСТ 27772-88	кг	91,200
